"Step","fold4 - val_dice_right_kidney","fold4 - val_dice_right_kidney__MIN","fold4 - val_dice_right_kidney__MAX","fold3 - val_dice_right_kidney","fold3 - val_dice_right_kidney__MIN","fold3 - val_dice_right_kidney__MAX","fold2 - val_dice_right_kidney","fold2 - val_dice_right_kidney__MIN","fold2 - val_dice_right_kidney__MAX","fold1 - val_dice_right_kidney","fold1 - val_dice_right_kidney__MIN","fold1 - val_dice_right_kidney__MAX","fold0 - val_dice_right_kidney","fold0 - val_dice_right_kidney__MIN","fold0 - val_dice_right_kidney__MAX"
"5","6.324480405326136e-11","6.324480405326136e-11","6.324480405326136e-11","4.6773858471822795e-11","4.6773858471822795e-11","4.6773858471822795e-11","4.68936593582454e-11","4.68936593582454e-11","4.68936593582454e-11","0.00008157472646314802","0.00008157472646314802","0.00008157472646314802","0.0001709280173014283","0.0001709280173014283","0.0001709280173014283"
"10","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.775849830495146e-11","4.775849830495146e-11","4.775849830495146e-11","4.300354661504927e-11","4.300354661504927e-11","4.300354661504927e-11","5.281758134280001e-11","5.281758134280001e-11","5.281758134280001e-11"
"15","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.775849830495146e-11","4.775849830495146e-11","4.775849830495146e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","5.4945478183419483e-11","5.4945478183419483e-11","5.4945478183419483e-11"
"20","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.775849830495146e-11","4.775849830495146e-11","4.775849830495146e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","5.4945478183419483e-11","5.4945478183419483e-11","5.4945478183419483e-11"
"25","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.775849830495146e-11","4.775849830495146e-11","4.775849830495146e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","5.49431920347501e-11","5.49431920347501e-11","5.49431920347501e-11"
"30","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.775849830495146e-11","4.775849830495146e-11","4.775849830495146e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","5.4944677443484625e-11","5.4944677443484625e-11","5.4944677443484625e-11"
"35","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.775849830495146e-11","4.775849830495146e-11","4.775849830495146e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","5.4945478183419483e-11","5.4945478183419483e-11","5.4945478183419483e-11"
"40","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.775849830495146e-11","4.775849830495146e-11","4.775849830495146e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","5.494063472505592e-11","5.494063472505592e-11","5.494063472505592e-11"
"45","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.775849830495146e-11","4.775849830495146e-11","4.775849830495146e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","5.4945478183419483e-11","5.4945478183419483e-11","5.4945478183419483e-11"
"50","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.775849830495146e-11","4.775849830495146e-11","4.775849830495146e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","5.4945478183419483e-11","5.4945478183419483e-11","5.4945478183419483e-11"
"55","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.775849830495146e-11","4.775849830495146e-11","4.775849830495146e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","5.4945478183419483e-11","5.4945478183419483e-11","5.4945478183419483e-11"
"60","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280092630689725e-11","4.7280092630689725e-11","4.7280092630689725e-11","4.775849830495146e-11","4.775849830495146e-11","4.775849830495146e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","5.494421882646042e-11","5.494421882646042e-11","5.494421882646042e-11"
"65","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280092630689725e-11","4.7280092630689725e-11","4.7280092630689725e-11","4.775849830495146e-11","4.775849830495146e-11","4.775849830495146e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11","5.4945478183419483e-11","5.4945478183419483e-11","5.4945478183419483e-11"
