"Step","fold4 - val_dice_left_kidney","fold4 - val_dice_left_kidney__MIN","fold4 - val_dice_left_kidney__MAX","fold3 - val_dice_left_kidney","fold3 - val_dice_left_kidney__MIN","fold3 - val_dice_left_kidney__MAX","fold2 - val_dice_left_kidney","fold2 - val_dice_left_kidney__MIN","fold2 - val_dice_left_kidney__MAX","fold1 - val_dice_left_kidney","fold1 - val_dice_left_kidney__MIN","fold1 - val_dice_left_kidney__MAX","fold0 - val_dice_left_kidney","fold0 - val_dice_left_kidney__MIN","fold0 - val_dice_left_kidney__MAX"
"5","0.000012644724552150248","0.000012644724552150248","0.000012644724552150248","0.0004176793985504082","0.0004176793985504082","0.0004176793985504082","0.04702265222260466","0.04702265222260466","0.04702265222260466","1.7096924893295288e-10","1.7096924893295288e-10","1.7096924893295288e-10","0.0008714344002342174","0.0008714344002342174","0.0008714344002342174"
"10","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","2.1194837853042053e-11","2.1194837853042053e-11","2.1194837853042053e-11","1.80740255050982e-11","1.80740255050982e-11","1.80740255050982e-11","0.25000000001294553","0.25000000001294553","0.25000000001294553","8.078979092510542e-10","8.078979092510542e-10","8.078979092510542e-10"
"15","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","2.1195132484393202e-11","2.1195132484393202e-11","2.1195132484393202e-11","1.8076411655013262e-11","1.8076411655013262e-11","1.8076411655013262e-11","0.2500000000129464","0.2500000000129464","0.2500000000129464","3.437566618208951e-7","3.437566618208951e-7","3.437566618208951e-7"
"20","2.174781109432748e-11","2.174781109432748e-11","2.174781109432748e-11","2.1195132484393202e-11","2.1195132484393202e-11","2.1195132484393202e-11","1.8075387591302125e-11","1.8075387591302125e-11","1.8075387591302125e-11","0.2500000000129464","0.2500000000129464","0.2500000000129464","4.8684806837940307e-8","4.8684806837940307e-8","4.8684806837940307e-8"
"25","2.1746315016133836e-11","2.1746315016133836e-11","2.1746315016133836e-11","2.1195132484393202e-11","2.1195132484393202e-11","2.1195132484393202e-11","1.8076325735520737e-11","1.8076325735520737e-11","1.8076325735520737e-11","0.2500000000129464","0.2500000000129464","0.2500000000129464","4.320215999092324e-8","4.320215999092324e-8","4.320215999092324e-8"
"30","0.000040893720232800764","0.000040893720232800764","0.000040893720232800764","2.1195132484393202e-11","2.1195132484393202e-11","2.1195132484393202e-11","1.8076411655013262e-11","1.8076411655013262e-11","1.8076411655013262e-11","0.2500000000129464","0.2500000000129464","0.2500000000129464","2.3518831613706902e-8","2.3518831613706902e-8","2.3518831613706902e-8"
"35","2.1746865487147907e-11","2.1746865487147907e-11","2.1746865487147907e-11","2.1194898159189878e-11","2.1194898159189878e-11","2.1194898159189878e-11","1.8075662933028832e-11","1.8075662933028832e-11","1.8075662933028832e-11","2.500126933000519e-7","2.500126933000519e-7","2.500126933000519e-7","9.988466448291917e-9","9.988466448291917e-9","9.988466448291917e-9"
"40","0.0006973700582052416","0.0006973700582052416","0.0006973700582052416","2.1194837853042053e-11","2.1194837853042053e-11","2.1194837853042053e-11","1.8076112664700483e-11","1.8076112664700483e-11","1.8076112664700483e-11","2.2740209730411318e-8","2.2740209730411318e-8","2.2740209730411318e-8","0.00001377535408808165","0.00001377535408808165","0.00001377535408808165"
"45","0.000012648803036199486","0.000012648803036199486","0.000012648803036199486","2.1195132484393202e-11","2.1195132484393202e-11","2.1195132484393202e-11","1.8075566700803393e-11","1.8075566700803393e-11","1.8075566700803393e-11","0.000007533027209336396","0.000007533027209336396","0.000007533027209336396","3.14543118697452e-8","3.14543118697452e-8","3.14543118697452e-8"
"50","0.0002982843255288627","0.0002982843255288627","0.0002982843255288627","0.000042387618377357606","0.000042387618377357606","0.000042387618377357606","1.8075166298290617e-11","1.8075166298290617e-11","1.8075166298290617e-11","5.001293314797831e-8","5.001293314797831e-8","5.001293314797831e-8","0.000027708873743676873","0.000027708873743676873","0.000027708873743676873"
