"Step","fold4 - val_dice_esophagus","fold4 - val_dice_esophagus__MIN","fold4 - val_dice_esophagus__MAX","fold3 - val_dice_esophagus","fold3 - val_dice_esophagus__MIN","fold3 - val_dice_esophagus__MAX","fold2 - val_dice_esophagus","fold2 - val_dice_esophagus__MIN","fold2 - val_dice_esophagus__MAX","fold1 - val_dice_esophagus","fold1 - val_dice_esophagus__MIN","fold1 - val_dice_esophagus__MAX","fold0 - val_dice_esophagus","fold0 - val_dice_esophagus__MIN","fold0 - val_dice_esophagus__MAX"
"5","2.7204755480244417e-10","2.7204755480244417e-10","2.7204755480244417e-10","0.00031203718759210714","0.00031203718759210714","0.00031203718759210714","0.00010655726480934233","0.00010655726480934233","0.00010655726480934233","2.2300210280230889e-10","2.2300210280230889e-10","2.2300210280230889e-10","3.388272275527905e-10","3.388272275527905e-10","3.388272275527905e-10"
"10","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.1804492234057344e-10","4.1804492234057344e-10","4.1804492234057344e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.496921956936813e-10","3.496921956936813e-10","3.496921956936813e-10"
"15","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
"20","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
"25","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
"30","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
"35","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
"40","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
"45","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
"50","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
