"Step","fold4 - val_dice_aorta","fold4 - val_dice_aorta__MIN","fold4 - val_dice_aorta__MAX","fold3 - val_dice_aorta","fold3 - val_dice_aorta__MIN","fold3 - val_dice_aorta__MAX","fold2 - val_dice_aorta","fold2 - val_dice_aorta__MIN","fold2 - val_dice_aorta__MAX","fold1 - val_dice_aorta","fold1 - val_dice_aorta__MIN","fold1 - val_dice_aorta__MAX","fold0 - val_dice_aorta","fold0 - val_dice_aorta__MIN","fold0 - val_dice_aorta__MAX"
"5","4.251272913411525e-11","4.251272913411525e-11","4.251272913411525e-11","3.7060197063260366e-11","3.7060197063260366e-11","3.7060197063260366e-11","4.4932087686722213e-11","4.4932087686722213e-11","4.4932087686722213e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11","0.00006988513611191541","0.00006988513611191541","0.00006988513611191541"
"10","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.045952150940985e-11","5.045952150940985e-11","5.045952150940985e-11","4.4996153495823874e-11","4.4996153495823874e-11","4.4996153495823874e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11","4.420905228046717e-11","4.420905228046717e-11","4.420905228046717e-11"
"15","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.047957542485085e-11","5.047957542485085e-11","5.047957542485085e-11","4.4996153495823874e-11","4.4996153495823874e-11","4.4996153495823874e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11","4.422576802714046e-11","4.422576802714046e-11","4.422576802714046e-11"
"20","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.047885742347231e-11","5.047885742347231e-11","5.047885742347231e-11","4.4996153495823874e-11","4.4996153495823874e-11","4.4996153495823874e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11","4.422576802714046e-11","4.422576802714046e-11","4.422576802714046e-11"
"25","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.048131729026855e-11","5.048131729026855e-11","5.048131729026855e-11","4.4996153495823874e-11","4.4996153495823874e-11","4.4996153495823874e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11","4.422576802714046e-11","4.422576802714046e-11","4.422576802714046e-11"
"30","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.048131729026855e-11","5.048131729026855e-11","5.048131729026855e-11","4.4996153495823874e-11","4.4996153495823874e-11","4.4996153495823874e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11","4.422576802714046e-11","4.422576802714046e-11","4.422576802714046e-11"
"35","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0483059407546483e-11","5.0483059407546483e-11","5.0483059407546483e-11","4.4996153495823874e-11","4.4996153495823874e-11","4.4996153495823874e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11","4.422576802714046e-11","4.422576802714046e-11","4.422576802714046e-11"
"40","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.047778218205053e-11","5.047778218205053e-11","5.047778218205053e-11","4.4996153495823874e-11","4.4996153495823874e-11","4.4996153495823874e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11","4.422576802714046e-11","4.422576802714046e-11","4.422576802714046e-11"
"45","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0478500116787016e-11","5.0478500116787016e-11","5.0478500116787016e-11","4.4996153495823874e-11","4.4996153495823874e-11","4.4996153495823874e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11","4.422576802714046e-11","4.422576802714046e-11","4.422576802714046e-11"
"50","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0483059407546483e-11","5.0483059407546483e-11","5.0483059407546483e-11","4.4995873266755416e-11","4.4995873266755416e-11","4.4995873266755416e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11","4.422576802714046e-11","4.422576802714046e-11","4.422576802714046e-11"
"55","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0479881354153527e-11","5.0479881354153527e-11","5.0479881354153527e-11","4.4996153495823874e-11","4.4996153495823874e-11","4.4996153495823874e-11","3.674416524868887e-11","3.674416524868887e-11","3.674416524868887e-11","4.422576802714046e-11","4.422576802714046e-11","4.422576802714046e-11"
"60","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.048059928889001e-11","5.048059928889001e-11","5.048059928889001e-11","4.4994956906628553e-11","4.4994956906628553e-11","4.4994956906628553e-11","3.674416524868887e-11","3.674416524868887e-11","3.674416524868887e-11","4.422576802714046e-11","4.422576802714046e-11","4.422576802714046e-11"
"65","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0482341406167954e-11","5.0482341406167954e-11","5.0482341406167954e-11","4.4996153495823874e-11","4.4996153495823874e-11","4.4996153495823874e-11","3.674416524868887e-11","3.674416524868887e-11","3.674416524868887e-11","4.422576802714046e-11","4.422576802714046e-11","4.422576802714046e-11"
"70","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.048059928889001e-11","5.048059928889001e-11","5.048059928889001e-11","4.499355623026377e-11","4.499355623026377e-11","4.499355623026377e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11","0.000022669612595644485","0.000022669612595644485","0.000022669612595644485"
"75","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0482341406167954e-11","5.0482341406167954e-11","5.0482341406167954e-11","4.499172419071088e-11","4.499172419071088e-11","4.499172419071088e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11","4.422549419751131e-11","4.422549419751131e-11","4.422549419751131e-11"
