"Step","fold4 - val_dice_right_kidney","fold4 - val_dice_right_kidney__MIN","fold4 - val_dice_right_kidney__MAX","fold3 - val_dice_right_kidney","fold3 - val_dice_right_kidney__MIN","fold3 - val_dice_right_kidney__MAX","fold2 - val_dice_right_kidney","fold2 - val_dice_right_kidney__MIN","fold2 - val_dice_right_kidney__MAX","fold1 - val_dice_right_kidney","fold1 - val_dice_right_kidney__MIN","fold1 - val_dice_right_kidney__MAX"
"5","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","0.0005579122669416101","0.0005579122669416101","0.0005579122669416101","4.7512855505616113e-11","4.7512855505616113e-11","4.7512855505616113e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11"
"10","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.775849830495146e-11","4.775849830495146e-11","4.775849830495146e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11"
"15","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.775849830495146e-11","4.775849830495146e-11","4.775849830495146e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11"
"20","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.775849830495146e-11","4.775849830495146e-11","4.775849830495146e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11"
"25","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.775849830495146e-11","4.775849830495146e-11","4.775849830495146e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11"
"30","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.775849830495146e-11","4.775849830495146e-11","4.775849830495146e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11"
"35","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.775849830495146e-11","4.775849830495146e-11","4.775849830495146e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11"
"40","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.775849830495146e-11","4.775849830495146e-11","4.775849830495146e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11"
"45","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.775849830495146e-11","4.775849830495146e-11","4.775849830495146e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11"
"50","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.775849830495146e-11","4.775849830495146e-11","4.775849830495146e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11"
"55","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.775849830495146e-11","4.775849830495146e-11","4.775849830495146e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11"
"60","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.775849830495146e-11","4.775849830495146e-11","4.775849830495146e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11"
"65","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.775849830495146e-11","4.775849830495146e-11","4.775849830495146e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11"
"70","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.775849830495146e-11","4.775849830495146e-11","4.775849830495146e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11"
"75","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.775849830495146e-11","4.775849830495146e-11","4.775849830495146e-11","4.303448926321946e-11","4.303448926321946e-11","4.303448926321946e-11"
"80","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.775849830495146e-11","4.775849830495146e-11","4.775849830495146e-11","0.002606905055051525","0.002606905055051525","0.002606905055051525"
"85","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.775849830495146e-11","4.775849830495146e-11","4.775849830495146e-11","0.0074533879000647785","0.0074533879000647785","0.0074533879000647785"
"90","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.775849830495146e-11","4.775849830495146e-11","4.775849830495146e-11","0.014126462188436521","0.014126462188436521","0.014126462188436521"
"95","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.775849830495146e-11","4.775849830495146e-11","4.775849830495146e-11","0.10132879608513032","0.10132879608513032","0.10132879608513032"
"100","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.775849830495146e-11","4.775849830495146e-11","4.775849830495146e-11","0.1549017569370345","0.1549017569370345","0.1549017569370345"
"105","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7280564211809405e-11","0.00006939951106449887","0.00006939951106449887","0.00006939951106449887","0.10678183034731559","0.10678183034731559","0.10678183034731559"
"110","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7280564211809405e-11","0.002600768125325139","0.002600768125325139","0.002600768125325139","0.14430202879275533","0.14430202879275533","0.14430202879275533"
"115","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7280564211809405e-11","0.012435819328531262","0.012435819328531262","0.012435819328531262","0.1869888091005094","0.1869888091005094","0.1869888091005094"
"120","6.416905974155607e-11","6.416905974155607e-11","6.416905974155607e-11","4.7280564211809405e-11","4.7280564211809405e-11","4.7280564211809405e-11","0.026791947797006724","0.026791947797006724","0.026791947797006724","0.2404302214197568","0.2404302214197568","0.2404302214197568"
"125","0.00004167715009548234","0.00004167715009548234","0.00004167715009548234","4.7280564211809405e-11","4.7280564211809405e-11","4.7280564211809405e-11","0.05937599406722295","0.05937599406722295","0.05937599406722295","0.2049072610821423","0.2049072610821423","0.2049072610821423"
"130","0.028864293173069887","0.028864293173069887","0.028864293173069887","0.006502789660384922","0.006502789660384922","0.006502789660384922","0.15609888979832304","0.15609888979832304","0.15609888979832304","0.20424075830732324","0.20424075830732324","0.20424075830732324"
"135","0.01654059392413781","0.01654059392413781","0.01654059392413781","0.06370978268865539","0.06370978268865539","0.06370978268865539","0.20073541279380308","0.20073541279380308","0.20073541279380308","0.24154386979084744","0.24154386979084744","0.24154386979084744"
"140","0.040786295065152356","0.040786295065152356","0.040786295065152356","0.013475824615549541","0.013475824615549541","0.013475824615549541","","","","0.2011900832147031","0.2011900832147031","0.2011900832147031"
"145","0.11219101769459172","0.11219101769459172","0.11219101769459172","0.009975123625654983","0.009975123625654983","0.009975123625654983","","","","0.22778828436163762","0.22778828436163762","0.22778828436163762"
"150","0.11715159989530988","0.11715159989530988","0.11715159989530988","0.028142663647083562","0.028142663647083562","0.028142663647083562","","","","0.2135881517882544","0.2135881517882544","0.2135881517882544"
"155","0.11334887534690967","0.11334887534690967","0.11334887534690967","0.03470261999711819","0.03470261999711819","0.03470261999711819","","","","0.2185540630113113","0.2185540630113113","0.2185540630113113"
"160","0.13658575487691824","0.13658575487691824","0.13658575487691824","0.1170419124357379","0.1170419124357379","0.1170419124357379","","","","0.23963173626279666","0.23963173626279666","0.23963173626279666"
"165","0.13219184329255168","0.13219184329255168","0.13219184329255168","0.10565634801699307","0.10565634801699307","0.10565634801699307","","","","0.2413956192335153","0.2413956192335153","0.2413956192335153"
"170","0.17454526557589126","0.17454526557589126","0.17454526557589126","0.12651989603261968","0.12651989603261968","0.12651989603261968","","","","0.23023970856390033","0.23023970856390033","0.23023970856390033"
"175","0.190348596265178","0.190348596265178","0.190348596265178","0.12657793577680554","0.12657793577680554","0.12657793577680554","","","","0.25103256612271846","0.25103256612271846","0.25103256612271846"
"180","0.1910237598177212","0.1910237598177212","0.1910237598177212","0.1258450881132747","0.1258450881132747","0.1258450881132747","","","","0.23478644758117792","0.23478644758117792","0.23478644758117792"
"185","0.19699520947228508","0.19699520947228508","0.19699520947228508","0.11713869929086389","0.11713869929086389","0.11713869929086389","","","","0.24501988334139102","0.24501988334139102","0.24501988334139102"
"190","0.19346144680922261","0.19346144680922261","0.19346144680922261","0.12497220504025187","0.12497220504025187","0.12497220504025187","","","","0.252123521154354","0.252123521154354","0.252123521154354"
"195","0.18673179814473997","0.18673179814473997","0.18673179814473997","0.11159071511714706","0.11159071511714706","0.11159071511714706","","","","0.2541929329947966","0.2541929329947966","0.2541929329947966"
"200","0.2034755695716429","0.2034755695716429","0.2034755695716429","0.10134681576406517","0.10134681576406517","0.10134681576406517","","","","0.2523809045270465","0.2523809045270465","0.2523809045270465"
