"Step","fold4 - val_dice_liver","fold4 - val_dice_liver__MIN","fold4 - val_dice_liver__MAX","fold3 - val_dice_liver","fold3 - val_dice_liver__MIN","fold3 - val_dice_liver__MAX","fold2 - val_dice_liver","fold2 - val_dice_liver__MIN","fold2 - val_dice_liver__MAX","fold1 - val_dice_liver","fold1 - val_dice_liver__MIN","fold1 - val_dice_liver__MAX"
"5","0.49649563466108537","0.49649563466108537","0.49649563466108537","0.3992088905435344","0.3992088905435344","0.3992088905435344","0.3777938176192616","0.3777938176192616","0.3777938176192616","0.5437436096353929","0.5437436096353929","0.5437436096353929"
"10","0.5329523099967132","0.5329523099967132","0.5329523099967132","0.5246274098626743","0.5246274098626743","0.5246274098626743","0.4017416612985327","0.4017416612985327","0.4017416612985327","0.5749813161780764","0.5749813161780764","0.5749813161780764"
"15","0.598391721580631","0.598391721580631","0.598391721580631","0.5056358217771014","0.5056358217771014","0.5056358217771014","0.6438245472388041","0.6438245472388041","0.6438245472388041","0.75669662359315","0.75669662359315","0.75669662359315"
"20","0.4830655162950417","0.4830655162950417","0.4830655162950417","0.5887136874170495","0.5887136874170495","0.5887136874170495","0.6456996985273147","0.6456996985273147","0.6456996985273147","0.7008662209822121","0.7008662209822121","0.7008662209822121"
"25","0.6624197273622449","0.6624197273622449","0.6624197273622449","0.7067975012151502","0.7067975012151502","0.7067975012151502","0.6178796715274505","0.6178796715274505","0.6178796715274505","0.765718677715449","0.765718677715449","0.765718677715449"
"30","0.7008658514687524","0.7008658514687524","0.7008658514687524","0.6694206511074111","0.6694206511074111","0.6694206511074111","0.6926083547919235","0.6926083547919235","0.6926083547919235","0.7802345980358685","0.7802345980358685","0.7802345980358685"
"35","0.7161562523188753","0.7161562523188753","0.7161562523188753","0.6084830785878034","0.6084830785878034","0.6084830785878034","0.7187923806102817","0.7187923806102817","0.7187923806102817","0.8260640552353014","0.8260640552353014","0.8260640552353014"
"40","0.7299190540697783","0.7299190540697783","0.7299190540697783","0.7895690083806787","0.7895690083806787","0.7895690083806787","0.7826463445899757","0.7826463445899757","0.7826463445899757","0.7461625370835114","0.7461625370835114","0.7461625370835114"
"45","0.7061213677220003","0.7061213677220003","0.7061213677220003","0.7617978037416071","0.7617978037416071","0.7617978037416071","0.7530475223530495","0.7530475223530495","0.7530475223530495","0.7808503640590159","0.7808503640590159","0.7808503640590159"
"50","0.728947216217608","0.728947216217608","0.728947216217608","0.7427443806442344","0.7427443806442344","0.7427443806442344","0.8354712640955407","0.8354712640955407","0.8354712640955407","0.8069702751325496","0.8069702751325496","0.8069702751325496"
"55","0.7781629013256394","0.7781629013256394","0.7781629013256394","0.8416193347947506","0.8416193347947506","0.8416193347947506","0.8006734579050302","0.8006734579050302","0.8006734579050302","0.8026293937584975","0.8026293937584975","0.8026293937584975"
"60","0.7149875054579672","0.7149875054579672","0.7149875054579672","0.8105994405555758","0.8105994405555758","0.8105994405555758","0.8355179924790492","0.8355179924790492","0.8355179924790492","0.8457021257332765","0.8457021257332765","0.8457021257332765"
"65","0.7826567633467713","0.7826567633467713","0.7826567633467713","0.7311329608055273","0.7311329608055273","0.7311329608055273","0.8384152419852321","0.8384152419852321","0.8384152419852321","0.8560587769824144","0.8560587769824144","0.8560587769824144"
"70","0.781558474809224","0.781558474809224","0.781558474809224","0.7723892048572726","0.7723892048572726","0.7723892048572726","0.8436616938215817","0.8436616938215817","0.8436616938215817","0.8167220494796876","0.8167220494796876","0.8167220494796876"
"75","0.8152714891047791","0.8152714891047791","0.8152714891047791","0.8204612496458443","0.8204612496458443","0.8204612496458443","0.8307597852320303","0.8307597852320303","0.8307597852320303","0.8338653193704212","0.8338653193704212","0.8338653193704212"
"80","0.7831234042698316","0.7831234042698316","0.7831234042698316","0.8170083952445465","0.8170083952445465","0.8170083952445465","0.8602618561147526","0.8602618561147526","0.8602618561147526","0.8448010979403591","0.8448010979403591","0.8448010979403591"
"85","0.7718970363363425","0.7718970363363425","0.7718970363363425","0.9131849415005681","0.9131849415005681","0.9131849415005681","0.8646419012866606","0.8646419012866606","0.8646419012866606","0.8159494473835909","0.8159494473835909","0.8159494473835909"
"90","0.7974389145525042","0.7974389145525042","0.7974389145525042","0.8387376367005096","0.8387376367005096","0.8387376367005096","0.8115595716603099","0.8115595716603099","0.8115595716603099","0.8567831404816542","0.8567831404816542","0.8567831404816542"
"95","0.8106173555547563","0.8106173555547563","0.8106173555547563","0.8702802694599373","0.8702802694599373","0.8702802694599373","0.8632745445269585","0.8632745445269585","0.8632745445269585","0.8543985593481195","0.8543985593481195","0.8543985593481195"
"100","0.7907700037351985","0.7907700037351985","0.7907700037351985","0.8799768310527556","0.8799768310527556","0.8799768310527556","0.8596362054043024","0.8596362054043024","0.8596362054043024","0.8743338006995487","0.8743338006995487","0.8743338006995487"
"105","0.8280576255674402","0.8280576255674402","0.8280576255674402","0.846972306536902","0.846972306536902","0.846972306536902","0.8845332654714748","0.8845332654714748","0.8845332654714748","0.8728524463053688","0.8728524463053688","0.8728524463053688"
"110","0.8020204524992662","0.8020204524992662","0.8020204524992662","0.8535991389504366","0.8535991389504366","0.8535991389504366","0.8791919253855183","0.8791919253855183","0.8791919253855183","0.8768857625997946","0.8768857625997946","0.8768857625997946"
"115","0.8218650650042995","0.8218650650042995","0.8218650650042995","0.8994906987735997","0.8994906987735997","0.8994906987735997","0.8836091922349159","0.8836091922349159","0.8836091922349159","0.8740760619922257","0.8740760619922257","0.8740760619922257"
"120","0.8445823029944989","0.8445823029944989","0.8445823029944989","0.8986689794492945","0.8986689794492945","0.8986689794492945","0.878379243191714","0.878379243191714","0.878379243191714","0.8829837363274019","0.8829837363274019","0.8829837363274019"
"125","0.7835070347736807","0.7835070347736807","0.7835070347736807","0.8607188319032516","0.8607188319032516","0.8607188319032516","0.8783243759084638","0.8783243759084638","0.8783243759084638","0.8647160839910342","0.8647160839910342","0.8647160839910342"
"130","0.8279444328373008","0.8279444328373008","0.8279444328373008","0.8889410225338906","0.8889410225338906","0.8889410225338906","0.8791603280065645","0.8791603280065645","0.8791603280065645","0.8800182446101747","0.8800182446101747","0.8800182446101747"
"135","0.8288785143483022","0.8288785143483022","0.8288785143483022","0.9016341647449405","0.9016341647449405","0.9016341647449405","0.8834739452217071","0.8834739452217071","0.8834739452217071","0.8799789810198312","0.8799789810198312","0.8799789810198312"
"140","0.8206900310725368","0.8206900310725368","0.8206900310725368","0.9101597477774769","0.9101597477774769","0.9101597477774769","","","","0.8791307370471966","0.8791307370471966","0.8791307370471966"
"145","0.8178386196475141","0.8178386196475141","0.8178386196475141","0.9013839661051879","0.9013839661051879","0.9013839661051879","","","","0.8911172427613193","0.8911172427613193","0.8911172427613193"
