"Step","fold4 - val_dice_left_kidney","fold4 - val_dice_left_kidney__MIN","fold4 - val_dice_left_kidney__MAX","fold3 - val_dice_left_kidney","fold3 - val_dice_left_kidney__MIN","fold3 - val_dice_left_kidney__MAX","fold2 - val_dice_left_kidney","fold2 - val_dice_left_kidney__MIN","fold2 - val_dice_left_kidney__MAX","fold1 - val_dice_left_kidney","fold1 - val_dice_left_kidney__MIN","fold1 - val_dice_left_kidney__MAX"
"5","2.1290719521604904e-11","2.1290719521604904e-11","2.1290719521604904e-11","2.114497087274745e-11","2.114497087274745e-11","2.114497087274745e-11","1.8076454616449016e-11","1.8076454616449016e-11","1.8076454616449016e-11","0.04927565312136572","0.04927565312136572","0.04927565312136572"
"10","2.1747985495033966e-11","2.1747985495033966e-11","2.1747985495033966e-11","2.1195132484393202e-11","2.1195132484393202e-11","2.1195132484393202e-11","1.8076454616449016e-11","1.8076454616449016e-11","1.8076454616449016e-11","0.0001776852612207747","0.0001776852612207747","0.0001776852612207747"
"15","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","2.1195132484393202e-11","2.1195132484393202e-11","2.1195132484393202e-11","1.8076454616449016e-11","1.8076454616449016e-11","1.8076454616449016e-11","0.25000000001294476","0.25000000001294476","0.25000000001294476"
"20","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","2.1195132484393202e-11","2.1195132484393202e-11","2.1195132484393202e-11","1.8076454616449016e-11","1.8076454616449016e-11","1.8076454616449016e-11","0.2500000000129464","0.2500000000129464","0.2500000000129464"
"25","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","2.1195132484393202e-11","2.1195132484393202e-11","2.1195132484393202e-11","1.8076454616449016e-11","1.8076454616449016e-11","1.8076454616449016e-11","0.2500000000129464","0.2500000000129464","0.2500000000129464"
"30","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","2.1195132484393202e-11","2.1195132484393202e-11","2.1195132484393202e-11","1.8076454616449016e-11","1.8076454616449016e-11","1.8076454616449016e-11","0.2500000000129464","0.2500000000129464","0.2500000000129464"
"35","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","2.1195132484393202e-11","2.1195132484393202e-11","2.1195132484393202e-11","1.8076454616449016e-11","1.8076454616449016e-11","1.8076454616449016e-11","0.2500000000129464","0.2500000000129464","0.2500000000129464"
"40","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","2.1195132484393202e-11","2.1195132484393202e-11","2.1195132484393202e-11","1.8076454616449016e-11","1.8076454616449016e-11","1.8076454616449016e-11","0.2500000000129464","0.2500000000129464","0.2500000000129464"
"45","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","2.1195132484393202e-11","2.1195132484393202e-11","2.1195132484393202e-11","1.8076454616449016e-11","1.8076454616449016e-11","1.8076454616449016e-11","0.2500000000129464","0.2500000000129464","0.2500000000129464"
"50","2.174868317765161e-11","2.174868317765161e-11","2.174868317765161e-11","2.1195132484393202e-11","2.1195132484393202e-11","2.1195132484393202e-11","1.8076454616449016e-11","1.8076454616449016e-11","1.8076454616449016e-11","0.2500000000129464","0.2500000000129464","0.2500000000129464"
