"Step","fold4 - val_dice_gallbladder","fold4 - val_dice_gallbladder__MIN","fold4 - val_dice_gallbladder__MAX","fold3 - val_dice_gallbladder","fold3 - val_dice_gallbladder__MIN","fold3 - val_dice_gallbladder__MAX","fold2 - val_dice_gallbladder","fold2 - val_dice_gallbladder__MIN","fold2 - val_dice_gallbladder__MAX","fold1 - val_dice_gallbladder","fold1 - val_dice_gallbladder__MIN","fold1 - val_dice_gallbladder__MAX"
"5","1.3639347355640417e-10","1.3639347355640417e-10","1.3639347355640417e-10","1.061208693093459e-10","1.061208693093459e-10","1.061208693093459e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4496786046928453e-10","1.4496786046928453e-10","1.4496786046928453e-10"
"10","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.272014844944671e-10","2.272014844944671e-10","2.272014844944671e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10"
"15","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10"
"20","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10"
"25","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10"
"30","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10"
"35","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10"
"40","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10"
"45","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10"
"50","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10"
"55","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10"
"60","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10"
"65","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10"
"70","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10"
"75","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10"
"80","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10"
"85","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2500000000951288","0.2500000000951288","0.2500000000951288","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10"
"90","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","2.2861849098346595e-10","2.2861849098346595e-10","2.2861849098346595e-10","0.2566061921657064","0.2566061921657064","0.2566061921657064","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10"
"95","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","0.07467626213166927","0.07467626213166927","0.07467626213166927","0.2617015155321692","0.2617015155321692","0.2617015155321692","1.4498186313096375e-10","1.4498186313096375e-10","1.4498186313096375e-10"
"100","1.364810205612782e-10","1.364810205612782e-10","1.364810205612782e-10","0.002766251957083738","0.002766251957083738","0.002766251957083738","0.29929945106552175","0.29929945106552175","0.29929945106552175","1.4486178390733677e-10","1.4486178390733677e-10","1.4486178390733677e-10"
"105","0.0012980271350632557","0.0012980271350632557","0.0012980271350632557","0.18492672695848977","0.18492672695848977","0.18492672695848977","0.368018498173406","0.368018498173406","0.368018498173406","1.4423198005111005e-10","1.4423198005111005e-10","1.4423198005111005e-10"
"110","0.045889332972671844","0.045889332972671844","0.045889332972671844","0.06591572821093213","0.06591572821093213","0.06591572821093213","0.3532407878280978","0.3532407878280978","0.3532407878280978","0.0010563381718735867","0.0010563381718735867","0.0010563381718735867"
"115","0.0996626293895777","0.0996626293895777","0.0996626293895777","0.2582556915634331","0.2582556915634331","0.2582556915634331","0.38464973650443035","0.38464973650443035","0.38464973650443035","0.005335061968998117","0.005335061968998117","0.005335061968998117"
"120","0.09377093112293401","0.09377093112293401","0.09377093112293401","0.3781180658070722","0.3781180658070722","0.3781180658070722","0.3211140743438942","0.3211140743438942","0.3211140743438942","0.08138310324367753","0.08138310324367753","0.08138310324367753"
"125","0.18647252633720782","0.18647252633720782","0.18647252633720782","0.34014701619363935","0.34014701619363935","0.34014701619363935","0.28169095578841025","0.28169095578841025","0.28169095578841025","0.18017242020669424","0.18017242020669424","0.18017242020669424"
"130","0.25211098619988387","0.25211098619988387","0.25211098619988387","0.3604435363661949","0.3604435363661949","0.3604435363661949","0.35481706341710406","0.35481706341710406","0.35481706341710406","0.14199707975385373","0.14199707975385373","0.14199707975385373"
"135","0.3940745707321987","0.3940745707321987","0.3940745707321987","0.4211909250007813","0.4211909250007813","0.4211909250007813","0.3535499154153579","0.3535499154153579","0.3535499154153579","0.23073465673842386","0.23073465673842386","0.23073465673842386"
"140","0.37528640363731064","0.37528640363731064","0.37528640363731064","0.3926907863711219","0.3926907863711219","0.3926907863711219","","","","0.2322360820727487","0.2322360820727487","0.2322360820727487"
"145","0.4023442630936895","0.4023442630936895","0.4023442630936895","0.4260250828381378","0.4260250828381378","0.4260250828381378","","","","0.28502011520782594","0.28502011520782594","0.28502011520782594"
"150","0.39867203429510006","0.39867203429510006","0.39867203429510006","0.40934546242238395","0.40934546242238395","0.40934546242238395","","","","0.24385278030792226","0.24385278030792226","0.24385278030792226"
"155","0.42877090633149967","0.42877090633149967","0.42877090633149967","0.4530144357195565","0.4530144357195565","0.4530144357195565","","","","0.2702205567821862","0.2702205567821862","0.2702205567821862"
"160","0.419000356656463","0.419000356656463","0.419000356656463","0.4521030990102864","0.4521030990102864","0.4521030990102864","","","","0.30118357690341996","0.30118357690341996","0.30118357690341996"
"165","0.4339386368409639","0.4339386368409639","0.4339386368409639","0.45603565958036146","0.45603565958036146","0.45603565958036146","","","","0.2696588475188366","0.2696588475188366","0.2696588475188366"
"170","0.4411237651189562","0.4411237651189562","0.4411237651189562","0.49281310642302406","0.49281310642302406","0.49281310642302406","","","","0.29168382537736437","0.29168382537736437","0.29168382537736437"
