"Step","fold4 - val_dice_aorta","fold4 - val_dice_aorta__MIN","fold4 - val_dice_aorta__MAX","fold3 - val_dice_aorta","fold3 - val_dice_aorta__MIN","fold3 - val_dice_aorta__MAX","fold2 - val_dice_aorta","fold2 - val_dice_aorta__MIN","fold2 - val_dice_aorta__MAX","fold1 - val_dice_aorta","fold1 - val_dice_aorta__MIN","fold1 - val_dice_aorta__MAX"
"5","0.000015826708707368518","0.000015826708707368518","0.000015826708707368518","4.464241064719331e-11","4.464241064719331e-11","4.464241064719331e-11","0.0010960599696962154","0.0010960599696962154","0.0010960599696962154","3.673424766055697e-11","3.673424766055697e-11","3.673424766055697e-11"
"10","4.2525849875805225e-11","4.2525849875805225e-11","4.2525849875805225e-11","5.0145119926052254e-11","5.0145119926052254e-11","5.0145119926052254e-11","4.485227226096152e-11","4.485227226096152e-11","4.485227226096152e-11","3.67426753864792e-11","3.67426753864792e-11","3.67426753864792e-11"
"15","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0483059407546483e-11","5.0483059407546483e-11","5.0483059407546483e-11","4.499499048649142e-11","4.499499048649142e-11","4.499499048649142e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11"
"20","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0483059407546483e-11","5.0483059407546483e-11","5.0483059407546483e-11","4.4996153495823874e-11","4.4996153495823874e-11","4.4996153495823874e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11"
"25","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0483059407546483e-11","5.0483059407546483e-11","5.0483059407546483e-11","4.4996153495823874e-11","4.4996153495823874e-11","4.4996153495823874e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11"
"30","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0483059407546483e-11","5.0483059407546483e-11","5.0483059407546483e-11","4.4996153495823874e-11","4.4996153495823874e-11","4.4996153495823874e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11"
"35","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0483059407546483e-11","5.0483059407546483e-11","5.0483059407546483e-11","4.4996153495823874e-11","4.4996153495823874e-11","4.4996153495823874e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11"
"40","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0483059407546483e-11","5.0483059407546483e-11","5.0483059407546483e-11","4.4996153495823874e-11","4.4996153495823874e-11","4.4996153495823874e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11"
"45","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0483059407546483e-11","5.0483059407546483e-11","5.0483059407546483e-11","4.4996153495823874e-11","4.4996153495823874e-11","4.4996153495823874e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11"
"50","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0483059407546483e-11","5.0483059407546483e-11","5.0483059407546483e-11","4.4996153495823874e-11","4.4996153495823874e-11","4.4996153495823874e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11"
"55","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0483059407546483e-11","5.0483059407546483e-11","5.0483059407546483e-11","4.4996153495823874e-11","4.4996153495823874e-11","4.4996153495823874e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11"
"60","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0483059407546483e-11","5.0483059407546483e-11","5.0483059407546483e-11","4.4996153495823874e-11","4.4996153495823874e-11","4.4996153495823874e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11"
"65","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0483059407546483e-11","5.0483059407546483e-11","5.0483059407546483e-11","4.4996153495823874e-11","4.4996153495823874e-11","4.4996153495823874e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11"
"70","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0483059407546483e-11","5.0483059407546483e-11","5.0483059407546483e-11","4.4996153495823874e-11","4.4996153495823874e-11","4.4996153495823874e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11"
"75","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0483059407546483e-11","5.0483059407546483e-11","5.0483059407546483e-11","4.4996153495823874e-11","4.4996153495823874e-11","4.4996153495823874e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11"
"80","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0483059407546483e-11","5.0483059407546483e-11","5.0483059407546483e-11","4.4996153495823874e-11","4.4996153495823874e-11","4.4996153495823874e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11"
"85","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0483059407546483e-11","5.0483059407546483e-11","5.0483059407546483e-11","4.4996153495823874e-11","4.4996153495823874e-11","4.4996153495823874e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11"
"90","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0483059407546483e-11","5.0483059407546483e-11","5.0483059407546483e-11","4.4996153495823874e-11","4.4996153495823874e-11","4.4996153495823874e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11"
"95","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0483059407546483e-11","5.0483059407546483e-11","5.0483059407546483e-11","4.4996153495823874e-11","4.4996153495823874e-11","4.4996153495823874e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11"
"100","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0483059407546483e-11","5.0483059407546483e-11","5.0483059407546483e-11","4.4996153495823874e-11","4.4996153495823874e-11","4.4996153495823874e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11"
"105","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0483059407546483e-11","5.0483059407546483e-11","5.0483059407546483e-11","4.4996153495823874e-11","4.4996153495823874e-11","4.4996153495823874e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11"
"110","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0483059407546483e-11","5.0483059407546483e-11","5.0483059407546483e-11","4.4996153495823874e-11","4.4996153495823874e-11","4.4996153495823874e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11"
"115","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0483059407546483e-11","5.0483059407546483e-11","5.0483059407546483e-11","4.4996153495823874e-11","4.4996153495823874e-11","4.4996153495823874e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11"
"120","4.2530974594232064e-11","4.2530974594232064e-11","4.2530974594232064e-11","5.0483059407546483e-11","5.0483059407546483e-11","5.0483059407546483e-11","4.4996153495823874e-11","4.4996153495823874e-11","4.4996153495823874e-11","3.6744621488142226e-11","3.6744621488142226e-11","3.6744621488142226e-11"
